BEEID,CNUM,CHOICE,SYM,LOWNUM,HIGHNUM,SHAPE
7,50,1,S,6,10,TRIANGLE
7,51,1,S,4,8,CIRCLE
7,52,0,S,4,8,CIRCLE
7,53,1,S,4,8,CIRCLE
7,54,0,S,4,8,CIRCLE
7,55,0,S,4,8,CIRCLE
7,56,1,S,4,8,CIRCLE
7,57,1,S,4,8,CIRCLE
7,58,0,S,4,8,CIRCLE
7,59,1,S,4,8,CIRCLE
7,60,1,S,6,8,STAR
7,61,1,S,6,8,STAR
7,62,0,S,6,8,STAR
7,63,0,S,6,8,STAR
7,64,0,S,6,8,STAR
7,65,0,S,6,8,STAR
7,66,0,S,6,8,STAR
7,67,0,S,6,8,STAR
7,68,1,S,6,8,STAR
7,69,1,S,8,10,SQUARE
7,70,1,S,8,10,SQUARE
7,71,0,S,8,10,SQUARE
7,72,0,S,8,10,SQUARE
7,73,1,S,8,10,SQUARE
7,74,1,S,8,10,SQUARE
7,75,1,S,4,8,TRIANGLE
7,76,1,S,4,8,TRIANGLE
7,77,0,S,4,8,TRIANGLE
7,78,1,S,4,8,TRIANGLE
7,79,0,S,4,8,TRIANGLE
7,80,1,S,4,8,TRIANGLE
7,81,1,S,6,10,CIRCLE
7,82,1,S,6,10,CIRCLE
7,83,1,S,6,10,CIRCLE
7,84,1,S,6,10,CIRCLE
7,85,1,S,6,10,CIRCLE
7,86,1,S,6,8,STAR
7,87,1,S,6,8,STAR
7,88,1,S,6,8,STAR
7,89,1,S,6,8,STAR
7,90,1,S,4,8,SQUARE
7,91,1,S,4,8,SQUARE
7,92,1,S,4,8,SQUARE
7,93,1,S,4,8,SQUARE
7,94,1,S,4,8,SQUARE
7,95,1,S,4,10,TRIANGLE
7,96,1,S,4,10,TRIANGLE
7,97,1,S,4,10,TRIANGLE
7,98,1,S,4,10,TRIANGLE
7,99,1,S,4,10,CIRCLE
7,100,1,S,4,10,CIRCLE
8,1,1,S,4,10,CIRCLE
8,2,0,S,4,10,CIRCLE
8,3,0,S,4,10,CIRCLE
8,4,1,S,4,10,CIRCLE
8,5,0,S,6,10,SQUARE
8,6,1,S,6,10,SQUARE
8,7,1,S,6,10,SQUARE
8,8,0,S,6,8,TRIANGLE
8,9,0,S,6,8,TRIANGLE
8,10,1,S,6,8,TRIANGLE
8,11,0,S,6,8,TRIANGLE
8,12,0,S,6,8,TRIANGLE
8,13,0,S,6,8,TRIANGLE
8,14,0,S,6,8,TRIANGLE
8,15,0,S,6,8,TRIANGLE
8,16,1,S,6,8,TRIANGLE
8,17,0,S,6,8,CIRCLE
8,18,1,S,6,8,CIRCLE
8,19,1,S,6,8,CIRCLE
8,20,1,S,6,8,CIRCLE
8,21,1,S,6,8,CIRCLE
8,22,0,S,6,8,CIRCLE
8,23,0,S,6,8,CIRCLE
8,24,0,S,6,8,CIRCLE
8,25,1,S,4,8,STAR
8,26,0,S,4,8,STAR
8,27,1,S,4,8,STAR
8,28,1,S,4,8,STAR
8,29,1,S,4,8,STAR
8,30,0,S,4,8,STAR
8,31,1,S,6,10,SQUARE
8,32,0,S,6,10,SQUARE
8,33,1,S,6,10,SQUARE
8,34,1,S,6,10,SQUARE
8,35,0,S,4,10,TRIANGLE
8,36,1,S,4,10,TRIANGLE
8,37,0,S,4,10,TRIANGLE
8,38,1,S,4,10,TRIANGLE
8,39,0,S,4,10,CIRCLE
8,40,0,S,4,10,CIRCLE
8,41,1,S,4,10,CIRCLE
8,42,0,S,4,10,CIRCLE
8,43,1,S,4,10,CIRCLE
8,44,0,S,4,10,CIRCLE
8,45,1,S,4,10,CIRCLE
8,46,0,S,4,10,CIRCLE
8,47,1,S,4,10,CIRCLE
8,48,1,S,4,10,CIRCLE
8,49,0,S,4,10,STAR
8,50,1,S,4,10,STAR
8,51,1,S,4,10,STAR
8,52,0,S,4,10,STAR
8,53,0,S,4,10,STAR
8,54,0,S,4,10,STAR
8,55,0,S,4,10,STAR
8,56,0,S,4,10,STAR
8,57,0,S,4,10,STAR
8,58,0,S,4,10,STAR
8,59,1,S,4,10,STAR
8,60,0,S,4,8,SQUARE
8,61,0,S,4,8,SQUARE
8,62,1,S,4,8,SQUARE
8,63,0,S,4,8,SQUARE
8,64,1,S,4,8,SQUARE
8,65,0,S,4,8,SQUARE
8,66,0,S,4,8,SQUARE
8,67,0,S,4,8,SQUARE
8,68,0,S,4,8,SQUARE
8,69,1,S,4,8,SQUARE
8,70,1,S,4,8,SQUARE
8,71,0,S,4,6,TRIANGLE
8,72,1,S,4,6,TRIANGLE
8,73,1,S,4,6,TRIANGLE
8,74,1,S,4,6,TRIANGLE
8,75,1,S,4,6,TRIANGLE
8,76,0,S,6,8,CIRCLE
8,77,0,S,6,8,CIRCLE
8,78,1,S,6,8,CIRCLE
8,79,1,S,6,8,CIRCLE
8,80,1,S,6,8,CIRCLE
8,81,1,S,8,10,STAR
8,82,1,S,8,10,STAR
8,83,1,S,8,10,STAR
8,84,1,S,8,10,STAR
8,85,0,S,8,10,STAR
8,86,0,S,8,10,STAR
8,87,1,S,8,10,STAR
8,88,1,S,6,8,SQUARE
8,89,1,S,6,8,SQUARE
8,90,1,S,6,8,SQUARE
8,91,1,S,4,6,TRIANGLE
8,92,1,S,4,6,TRIANGLE
8,93,0,S,4,6,TRIANGLE
8,94,0,S,4,6,TRIANGLE
8,95,1,S,4,6,TRIANGLE
8,96,1,S,4,8,CIRCLE
8,97,0,S,4,8,CIRCLE
8,98,1,S,4,8,CIRCLE
8,99,1,S,4,8,CIRCLE
8,100,1,S,4,8,CIRCLE
9,1,0,S,6,8,SQUARE
9,2,1,S,6,8,SQUARE
9,3,1,S,6,8,SQUARE
9,4,0,S,6,8,SQUARE
9,5,1,S,6,8,SQUARE
9,6,0,S,4,10,TRIANGLE
9,7,1,S,4,10,TRIANGLE
9,8,1,S,6,8,CIRCLE
9,9,1,S,6,8,CIRCLE
9,10,0,S,6,8,CIRCLE
9,11,0,S,6,10,STAR
9,12,0,S,6,10,STAR
9,13,0,S,6,10,STAR
9,14,0,S,6,10,STAR
9,15,0,S,6,10,STAR
9,16,1,S,6,10,STAR
9,17,1,S,6,10,STAR
9,18,1,S,6,10,STAR
9,19,1,S,6,10,STAR
9,20,1,S,4,10,SQUARE
9,21,1,S,4,10,SQUARE
9,22,1,S,4,10,SQUARE
9,23,1,S,4,8,TRIANGLE
9,24,1,S,4,8,TRIANGLE
9,25,1,S,4,8,TRIANGLE
9,26,1,S,6,8,CIRCLE
9,27,1,S,6,8,CIRCLE
9,28,1,S,6,8,CIRCLE
9,29,1,S,6,8,CIRCLE
9,30,1,S,4,6,CIRCLE
9,31,1,S,4,6,CIRCLE
9,32,0,S,4,6,CIRCLE
9,33,0,S,4,6,CIRCLE
9,34,1,S,4,6,CIRCLE
9,35,0,S,4,6,CIRCLE
9,36,0,S,4,6,CIRCLE
9,37,0,S,4,6,CIRCLE
9,38,0,S,4,6,CIRCLE
9,39,0,S,4,6,CIRCLE
9,40,0,S,4,6,CIRCLE
9,41,1,S,4,6,CIRCLE
9,42,0,S,6,10,STAR
9,43,0,S,6,10,STAR
9,44,1,S,6,10,STAR
9,45,0,S,6,10,STAR
9,46,0,S,6,10,STAR
9,47,0,S,6,10,STAR
9,48,1,S,6,10,STAR
9,49,0,S,6,10,SQUARE
9,50,1,S,6,10,SQUARE
9,51,1,S,6,10,SQUARE
9,52,1,S,6,10,SQUARE
9,53,1,S,6,10,SQUARE
9,54,0,S,8,10,TRIANGLE
9,55,0,S,8,10,TRIANGLE
9,56,1,S,8,10,TRIANGLE
9,57,0,S,8,10,TRIANGLE
9,58,1,S,8,10,TRIANGLE
9,59,0,S,8,10,TRIANGLE
9,60,1,S,8,10,TRIANGLE
9,61,0,S,8,10,CIRCLE
9,62,1,S,8,10,CIRCLE
9,63,0,S,8,10,CIRCLE
9,64,1,S,8,10,CIRCLE
9,65,1,S,8,10,CIRCLE
9,66,0,S,4,6,STAR
9,67,1,S,4,6,STAR
9,68,1,S,4,6,STAR
9,69,1,S,4,6,STAR
9,70,1,S,4,6,STAR
9,71,1,S,8,10,SQUARE
9,72,0,S,8,10,SQUARE
9,73,0,S,8,10,SQUARE
9,74,1,S,8,10,SQUARE
9,75,1,S,6,8,TRIANGLE
9,76,1,S,6,8,TRIANGLE
9,77,0,S,6,8,TRIANGLE
9,78,1,S,6,8,TRIANGLE
9,79,1,S,4,6,CIRCLE
9,80,1,S,4,6,CIRCLE
9,81,1,S,4,6,CIRCLE
9,82,1,S,4,6,CIRCLE
9,83,1,S,4,6,CIRCLE
9,84,1,S,4,6,CIRCLE
9,85,1,S,4,10,STAR
9,86,1,S,4,10,STAR
9,87,0,S,4,10,STAR
9,88,1,S,4,10,STAR
9,89,0,S,4,8,SQUARE
9,90,1,S,4,8,SQUARE
9,91,0,S,4,8,SQUARE
9,92,0,S,4,8,SQUARE
9,93,1,S,4,8,SQUARE
9,94,0,S,4,8,SQUARE
9,95,1,S,4,8,SQUARE
9,96,1,S,4,8,SQUARE
9,97,0,S,4,8,SQUARE
9,98,0,S,4,8,SQUARE
9,99,1,S,4,8,SQUARE
9,100,1,S,4,8,SQUARE
10,1,1,A,4,10,SQUARE
10,2,0,A,4,10,SQUARE
10,3,0,A,4,10,SQUARE
10,4,0,A,4,10,SQUARE
10,5,0,A,4,10,SQUARE
10,6,0,A,4,10,SQUARE
10,7,0,A,4,10,SQUARE
10,8,0,A,4,10,SQUARE
10,9,0,A,4,10,SQUARE
10,10,0,A,4,10,SQUARE
10,11,1,A,4,10,SQUARE
